Dataset-Quantity-metrics,Anomaly Transformer,AE,DAGMM,DCdetector,DLinear,DeepPoint,DualTF,Isolation Forest,LSTM,ModernTCN,NLinear,PatchTST,TimesNet,TranAD,VAE,HBOS,iTransformer,KNN,LODA,LOF,OCSVM,PCA,GPT4TS,Moment,Timer,TTM,UniTS,UniTime
Space Weather/SWAN-96-P,0.2975065,0.902737752,0.215365239,0.320965112,0.478992242,0.27441328,0.369968409,0.776200135,0.896716826,0.486386045,0.448814737,0.474494853,0.536581698,0.492491657,0.913277512,0.541862653,0.45014506,0.565814776,0.82565713,0.396466656,0.326010867,0.533847827,0.483710615,0.52061511,0.530410713,0.511024155,0.486999082,0.46714834
Space Weather/SWAN-96-R,0.257413088,0.064059305,0.008742331,0.251635992,0.318813906,0.245092025,0.371216769,0.058691207,0.06702454,0.327862986,0.303936605,0.318149284,0.364826176,0.362167689,0.078067485,0.206134969,0.301431493,0.932668712,0.36293456,0.891462168,1,0.52694274,0.323364008,0.358282209,0.362474438,0.347188139,0.325562372,0.317331288
Space Weather/SWAN-96-R-A-P,0.467109964,0.501905576,0.527534045,0.350514617,0.373705956,0.322702351,0.40526332,0.357135904,0.396602216,0.383348452,0.364290332,0.399082037,0.483235986,0.391014,0.52166771,0.472771983,0.360166983,0.681936239,0.714136627,0.489683228,0.663005434,0.419945574,0.375397215,0.424333657,0.432196772,0.392704076,0.381194044,0.375434891
Space Weather/SWAN-96-R-A-R,0.487350297,0.584289031,0.702319161,0.409264835,0.397321941,0.367584615,0.426626422,0.421973898,0.43605185,0.418240053,0.404369265,0.450798188,0.558211064,0.385995893,0.55537033,0.590306643,0.410892591,0.784695719,0.818269761,0.564088302,0.500024728,0.457490852,0.403653592,0.505087616,0.50783966,0.431344029,0.415968785,0.417777073
Space Weather/SWAN-96-R-F1,0.301916943,0.018984893,0.018996509,0.293650382,0.452418357,0.311292809,0.320740228,0.208496176,0.213593835,0.44643502,0.410603716,0.444239962,0.472609432,0.366542308,0.212225949,0.247054639,0.398295118,0.485314553,0.474431071,0.349579953,0.000106204,0.372573702,0.464589029,0.45123152,0.466036269,0.480358913,0.463992767,0.442599606
Space Weather/SWAN-96-R-P,0.2985489,0.902737752,0.215365239,0.32267255,0.432179442,0.27441328,0.32710421,0.776200135,0.896716826,0.443583534,0.40484068,0.439819655,0.485930113,0.389391175,0.913277512,0.447117435,0.396107976,0.336540462,0.69838573,0.221071926,5.31E-05,0.32276167,0.447400533,0.490341932,0.475316385,0.492684395,0.471091899,0.42539028
Space Weather/SWAN-96-R-R,0.305361845,0.009593322,0.009936483,0.269418086,0.474645976,0.359624182,0.314619148,0.120421361,0.121235826,0.449323404,0.416533198,0.448750021,0.459999578,0.346226289,0.120062997,0.170682649,0.400506548,0.869846838,0.359233851,0.834907718,1,0.440566661,0.483151008,0.417899246,0.457111584,0.468635072,0.457104419,0.461260058
Space Weather/SWAN-96-V-PR,0.498747022,0.526849315,0.546586988,0.374012567,0.404931633,0.34972148,0.432589304,0.383449237,0.429931871,0.414025046,0.394360683,0.428537236,0.515772735,0.421782364,0.54787954,0.496679995,0.390212341,0.695948582,0.725460838,0.517251308,0.67506397,0.447510571,0.406437749,0.452262565,0.46118025,0.422786912,0.411549961,0.404856001
Space Weather/SWAN-96-V-ROC,0.506158357,0.61343473,0.717915906,0.427197465,0.440953038,0.403688568,0.457553579,0.454476971,0.483637327,0.461106202,0.447862718,0.490716247,0.597825388,0.43616864,0.592247495,0.618833703,0.452274078,0.797632025,0.825874534,0.600924716,0.509477728,0.482909268,0.446566819,0.54235111,0.546809085,0.473378591,0.458473036,0.459576035
Spacecraft/MSL-96-A-P,0.106757896,0.147873517,0.138451215,0.107467368,0.147395535,0.110449684,0.155926178,0.114123632,0.136368396,0.146369666,0.139603875,0.15682372,0.145551152,0.13761312,0.138854762,0.131532218,0.150967678,0.199780645,0.141431728,0.120113384,0.152826371,0.157001361,0.134945161,0.142689194,0.15464742,0.150194678,0.145865373,0.144912296
Spacecraft/MSL-96-A-R,0.507581894,0.562210842,0.568513973,0.507715847,0.624305373,0.487753837,0.575692979,0.523500239,0.531290009,0.633354467,0.59225884,0.637471295,0.613397044,0.52403414,0.530088981,0.573639822,0.61091327,0.622790761,0.488948188,0.556738498,0.52374659,0.551883734,0.584725583,0.58339069,0.636770685,0.640414998,0.631649305,0.627253575
Spacecraft/MSL-96-Acc,0.890599357,0.890884184,0.89001614,0.89154878,0.857532314,0.136621953,0.890585794,0.889554992,0.890843494,0.856677834,0.872085611,0.872777333,0.855226573,0.857857831,0.890789242,0.81581196,0.854358529,0.791398229,0.884482361,0.758643139,0.817860001,0.812177027,0.855226573,0.854141518,0.872845149,0.873482619,0.873767446,0.872153427
Spacecraft/MSL-96-Aff-F1,0.691512761,0.625169774,0.722743383,0.69422466,0.724989487,0.676861417,0.588340832,0.583545902,0.625369908,0.727436052,0.72270524,0.72394061,0.734010782,0.710162115,0.6415416,0.680373717,0.709650217,0.69555474,0.61572044,0.701479865,0.640764541,0.67751385,0.720344053,0.73080116,0.693735013,0.723557461,0.722722506,0.71572256
Spacecraft/MSL-96-Aff-P,0.549414318,0.521070436,0.586393013,0.575854254,0.576867799,0.511585598,0.561654471,0.501917451,0.519474093,0.580041618,0.583757421,0.584140145,0.589288601,0.557765608,0.532500877,0.520407728,0.566112529,0.559682836,0.494943797,0.548791766,0.496818392,0.538390597,0.571375957,0.583410813,0.55758759,0.580353857,0.579248496,0.567354706
Spacecraft/MSL-96-Aff-R,0.932757686,0.78124716,0.941714472,0.87384992,0.975456288,0.999892505,0.617689638,0.696882079,0.785494508,0.975259289,0.948460971,0.951710577,0.972957399,0.977144047,0.806738157,0.982327247,0.950699945,0.918546503,0.814467568,0.971882884,0.902149756,0.913591086,0.974383554,0.977837813,0.917848046,0.960583601,0.960671029,0.969167793
Spacecraft/MSL-96-F1,0.014659174,0.02638267,0.04250797,0.015755785,0.120857047,0.174221,0.035393997,0.025374028,0.026608612,0.116840786,0.09983774,0.098423683,0.119161578,0.106259594,0.027301281,0.127361522,0.113587585,0.256214334,0.172544448,0.19322664,0.126341813,0.133416771,0.103477238,0.120111275,0.085633473,0.103766334,0.098421002,0.084676636
Spacecraft/MSL-96-P,0.142857143,0.219315895,0.256045519,0.17877095,0.172644668,0.09686959,0.247906198,0.179966044,0.219123506,0.166468207,0.192917743,0.194086429,0.165900735,0.157323232,0.220703125,0.12711647,0.158233671,0.205157993,0.351404828,0.149114828,0.127679158,0.129778427,0.148792271,0.164721724,0.176517893,0.204390613,0.198670317,0.172195893
Spacecraft/MSL-96-R,0.007725985,0.01403554,0.023177955,0.008241051,0.092969354,0.864666495,0.01905743,0.01364924,0.014164306,0.090007726,0.067344836,0.065928406,0.092969354,0.080221478,0.014550605,0.12760752,0.088591295,0.341102241,0.114344579,0.274401236,0.125032192,0.137265001,0.079320113,0.094514551,0.056528457,0.069533866,0.06541334,0.056142158
Spacecraft/MSL-96-R-A-P,0.165239204,0.20042844,0.203286636,0.159997868,0.224742631,0.174330659,0.219859897,0.174420616,0.192153344,0.223725589,0.221994334,0.241997219,0.231053259,0.193205799,0.190078679,0.189849861,0.227159405,0.243598436,0.177154803,0.182077061,0.185038048,0.203102327,0.200845146,0.218774673,0.217667365,0.229404554,0.222387087,0.213415344
Spacecraft/MSL-96-R-A-R,0.529204209,0.635151166,0.63684764,0.599434339,0.703194969,0.612953748,0.662266725,0.574820806,0.620698748,0.708260671,0.681020208,0.720435803,0.701109084,0.614142525,0.607581695,0.642687313,0.686171423,0.645319622,0.552270007,0.631875005,0.594141514,0.630807754,0.662555506,0.674252781,0.691989817,0.718946309,0.707024448,0.711011606
Spacecraft/MSL-96-R-F1,0.146315817,0.146102192,0.189075758,0.147122109,0.158406955,0.521827835,0.083503719,0.137806788,0.140747323,0.154709051,0.148576057,0.153039605,0.164074746,0.154445429,0.146408716,0.149318499,0.14823063,0.176823493,0.139329668,0.164453586,0.132146786,0.152954496,0.156437681,0.158241641,0.15152812,0.161548033,0.160195265,0.154361247
Spacecraft/MSL-96-R-P,0.143198091,0.219315895,0.256045519,0.177177177,0.130203447,0.365269149,0.267399267,0.179966044,0.219123506,0.12871985,0.137250637,0.135601194,0.129572755,0.123374041,0.220703125,0.119362787,0.124843594,0.154612716,0.173998872,0.137267967,0.098122575,0.112833422,0.125732103,0.130009089,0.134544493,0.135862392,0.130941919,0.133204633
Spacecraft/MSL-96-R-R,0.149572323,0.109536038,0.149875265,0.125784865,0.202207294,0.913263317,0.049477265,0.111651138,0.103667493,0.193847951,0.16193864,0.175625123,0.223618871,0.206435634,0.109536038,0.199347446,0.182399687,0.206486104,0.116180709,0.205066571,0.20229195,0.237351423,0.206986823,0.202137467,0.173418883,0.199209922,0.206279575,0.183507335
Spacecraft/MSL-96-V-PR,0.162228372,0.198576429,0.201438491,0.158693632,0.220841277,0.172771052,0.21770714,0.172913174,0.191167641,0.220104734,0.217700828,0.237465449,0.226525312,0.191692012,0.188769615,0.18892129,0.223929,0.2420109,0.175512936,0.181162522,0.184854688,0.199684861,0.198541366,0.216831749,0.214781601,0.224855258,0.21888436,0.21224723
Spacecraft/MSL-96-V-ROC,0.526630078,0.628147802,0.63112702,0.590421485,0.694936255,0.601783038,0.652342384,0.571413967,0.614918333,0.701408555,0.672208089,0.712068694,0.692261812,0.606417865,0.602353802,0.635177206,0.678237516,0.64233166,0.546662221,0.616922583,0.590234496,0.62151731,0.655915618,0.665571688,0.678566268,0.710237102,0.700082132,0.70352941
Spacecraft/SMAP-96-A-P,0.130067294,0.126219392,0.139309525,0.132130829,0.104009315,0.108686079,0.121971691,0.121740519,0.107068421,0.113556348,0.110628054,0.114698521,0.113994808,0.100952595,0.10531063,0.148181989,0.114212857,0.163535567,0.095333091,0.174144319,0.101815821,0.104492334,0.116432687,0.119885709,0.116353044,0.102869677,0.109328902,0.11831412
Spacecraft/SMAP-96-A-R,0.510744721,0.521981251,0.531294146,0.522494773,0.397059917,0.429425966,0.478055171,0.487487936,0.436192654,0.454862875,0.433537399,0.447995526,0.452913692,0.395688308,0.411727201,0.585432998,0.409142705,0.62862734,0.364436953,0.625906833,0.392801748,0.396219097,0.478774761,0.47198336,0.476232771,0.38899997,0.438142,0.467533463
Spacecraft/SMAP-96-Acc,0.845158167,0.871441033,0.127908853,0.868085226,0.684844148,0.872135579,0.663018542,0.869984121,0.871073882,0.688707418,0.684755283,0.684862856,0.688920225,0.718610345,0.871087913,0.820816291,0.685498939,0.667164776,0.869210064,0.639350166,0.812933069,0.814675282,0.680887336,0.693202094,0.735742499,0.684189356,0.685019539,0.730670203
Spacecraft/SMAP-96-Aff-F1,0.703083653,0.4634518,0.679544451,0.701160624,0.616108088,0.368887319,0.673538549,0.51204578,0.484459516,0.635216767,0.60082626,0.606396609,0.638226116,0.533562464,0.48713081,0.508672459,0.587367663,0.629893007,0.500565605,0.642116532,0.503428675,0.504664703,0.621963029,0.628501444,0.668342831,0.631257083,0.619593633,0.63458278
Spacecraft/SMAP-96-Aff-P,0.544937445,0.415662079,0.514628797,0.548105649,0.455277861,0.987259797,0.508532817,0.424673478,0.407089677,0.472034791,0.447451371,0.449699219,0.475196673,0.406050581,0.410877144,0.398577398,0.439433732,0.488541053,0.397509826,0.498195681,0.392194999,0.39887068,0.457897653,0.471481511,0.50989832,0.467452524,0.461277575,0.476718829
Spacecraft/SMAP-96-Aff-R,0.990551424,0.523658095,1,0.972812158,0.952632455,0.226818821,0.997058079,0.644682788,0.598139526,0.970832703,0.914185766,0.930697537,0.971539926,0.777821355,0.598137695,0.702799855,0.885452283,0.8863429,0.675758234,0.902970396,0.702738037,0.686837211,0.969244818,0.942330737,0.969649149,0.971792176,0.943369477,0.948762527
Spacecraft/SMAP-96-F1,0.071854105,0.001017627,0.226807073,0.009551736,0.109832622,0.000767558,0.162531601,0.003655848,0.001882864,0.123350281,0.107364685,0.109226478,0.120561421,0.091933378,0.001810774,0.060498308,0.10968263,0.283396774,0.004485582,0.278158466,0.054891953,0.058611105,0.109409876,0.131592883,0.127344758,0.11583234,0.110827243,0.127843577
Spacecraft/SMAP-96-P,0.153998678,0.083832335,0.127908853,0.120513957,0.085979027,0.913043478,0.11913708,0.092307692,0.096474954,0.096399308,0.084165611,0.085540347,0.094425401,0.078277409,0.094517958,0.091846612,0.085971066,0.195551572,0.08490566,0.186936937,0.077580737,0.083666825,0.085073991,0.103137711,0.110234641,0.090226638,0.086730108,0.109118879
Spacecraft/SMAP-96-R,0.046859002,0.00051192,1,0.004972941,0.152003803,0.00038394,0.255649408,0.001864853,0.000950709,0.171219102,0.148219248,0.151053093,0.166703232,0.111360977,0.000914144,0.045103847,0.151455317,0.514534884,0.002303642,0.543257277,0.042471113,0.045103847,0.153247038,0.181731754,0.150742285,0.161730291,0.153466433,0.154325728
Spacecraft/SMAP-96-R-A-P,0.152407758,0.14247408,0.162773164,0.149118073,0.117893124,0.123187152,0.141145881,0.135015856,0.122552089,0.129003985,0.126419099,0.131509528,0.131324423,0.116224976,0.120941344,0.16525718,0.126142107,0.179760899,0.104106269,0.191382221,0.116980237,0.117851151,0.130902372,0.136305329,0.134208392,0.118631765,0.125058817,0.136403004
Spacecraft/SMAP-96-R-A-R,0.520459229,0.544949059,0.528352392,0.552007846,0.43488106,0.468322207,0.515979917,0.498507449,0.459510763,0.490892365,0.466471258,0.482805894,0.490232877,0.422356951,0.449902835,0.564896157,0.440733336,0.572388,0.408824348,0.58791289,0.429713483,0.419604258,0.50680427,0.502912984,0.512938434,0.431657294,0.475903697,0.501784016
Spacecraft/SMAP-96-R-F1,0.15117808,0.066035429,0.003810899,0.129703183,0.154791238,0.08677244,0.147973719,0.091923363,0.072051002,0.132815943,0.118445587,0.117612464,0.131254635,0.11418007,0.071498204,0.094260617,0.124404486,0.165891032,0.082076498,0.163832018,0.099513521,0.105484583,0.152045125,0.124923043,0.146188919,0.146652793,0.135847949,0.141146315
Spacecraft/SMAP-96-R-P,0.120007536,0.083832335,0.001909087,0.120513957,0.106891651,0.913043478,0.109900158,0.092307692,0.096474954,0.087456702,0.079749181,0.078592275,0.084135487,0.07822355,0.094517958,0.074739955,0.088137056,0.144696249,0.081575246,0.131133036,0.079225065,0.085701542,0.100564347,0.088202229,0.098106509,0.093193374,0.090079668,0.102977295
Spacecraft/SMAP-96-R-R,0.204222459,0.054471569,1,0.140409446,0.280476557,0.04555071,0.226411048,0.091542221,0.057495285,0.27592268,0.230092575,0.233584632,0.298332387,0.211312942,0.057495285,0.127582839,0.211388557,0.194360528,0.082583948,0.218255663,0.133770253,0.137141942,0.311516031,0.214028514,0.286703509,0.343964459,0.276162384,0.224274839
Spacecraft/SMAP-96-V-PR,0.152483661,0.142913692,0.163200587,0.149692009,0.118395134,0.123621905,0.141186805,0.135566207,0.123095624,0.129277109,0.126668934,0.131735717,0.131395124,0.116881035,0.121359596,0.165572203,0.126039939,0.179940247,0.104105322,0.191178792,0.117351377,0.118350794,0.13154156,0.136549948,0.134706231,0.118871724,0.12548234,0.136768753
Spacecraft/SMAP-96-V-ROC,0.520365991,0.543973419,0.528444,0.551851794,0.434713171,0.468051026,0.514874214,0.499121636,0.458805953,0.489428468,0.465226796,0.481605128,0.488791094,0.422527637,0.44862176,0.566082853,0.439004142,0.569411461,0.407349838,0.582996952,0.428353953,0.418625319,0.507504896,0.501861996,0.511945772,0.430878398,0.47384556,0.500868961
Synthetic/TODS-96-A-P,0.092251478,0.574809723,0.216371966,0.097157187,0.458518893,0.371163933,0.121564123,0.513906683,0.517580195,0.223191551,0.12118012,0.59345721,0.660311007,0.107809947,0.265713599,0.071415001,0.630164365,0.590814487,0.334590079,0.588582565,0.480566408,0.099636943,0.276076551,0.130284193,0.246587223,0.225451263,0.214542698,0.546249997
Synthetic/TODS-96-A-R,0.540262212,0.780174141,0.66663882,0.560762177,0.770452564,0.703190233,0.593210002,0.874482634,0.774850472,0.640902348,0.630266539,0.880588323,0.908448,0.547084977,0.577925566,0.487282335,0.899255448,0.784289517,0.713592873,0.784928087,0.689717833,0.541723358,0.71500858,0.57979508,0.624624226,0.650910142,0.643278227,0.847546086
Synthetic/TODS-96-Acc,0.7065,0.857866667,0.847716667,0.823883333,0.820733333,0.063733333,0.749966667,0.948116667,0.063533333,0.817983333,0.864333333,0.921166667,0.89455,0.536716667,0.063533333,0.6484,0.926883333,0.63605,0.6234,0.634583333,0.629983333,0.570383333,0.876166667,0.770833333,0.760416667,0.7188,0.803066667,0.894266667
Synthetic/TODS-96-Aff-F1,0.661592138,0.80721591,0.596020527,0.705548631,0.851597396,0.675068102,0.680241868,0.877382438,0.674959001,0.719018649,0.814277665,0.899164084,0.87790374,0.644747122,0.674959001,0.609821977,0.909073335,0.775315667,0.713183513,0.774341079,0.748138742,0.644792847,0.760542492,0.669482862,0.671338505,0.703441987,0.705043234,0.881808452
Synthetic/TODS-96-Aff-P,0.618917035,0.752433848,0.587704777,0.680694995,0.803847562,0.509526668,0.5815441,0.885206018,0.509401835,0.599620025,0.743010302,0.864053959,0.857049035,0.520403875,0.509401835,0.506783836,0.899153928,0.646950155,0.596823693,0.644982426,0.621675784,0.531387146,0.70518363,0.552961695,0.603272061,0.590548758,0.597319095,0.846622449
Synthetic/TODS-96-Aff-R,0.762062076,0.921636426,0.684422931,0.749710987,0.935876738,1,0.850192284,0.88487936,1,0.910131782,0.914965555,0.943634859,0.914047943,0.865024467,1,0.803320652,0.926876035,0.983511768,0.909434831,0.984206054,0.95659755,0.84607068,0.830763391,0.856690479,0.797346431,0.8904504,0.871976035,0.932075086
Synthetic/TODS-96-F1,0.094389877,0.42035553,0.132168397,0.110469694,0.49616859,0.119158593,0.125811977,0.423840627,0.119136245,0.212066151,0.334471622,0.536433283,0.496998319,0.130787666,0.119136245,0.084874005,0.572726502,0.378835455,0.274186106,0.37589119,0.327383673,0.138833562,0.284533753,0.149696662,0.216556315,0.211061288,0.214087483,0.490271312
Synthetic/TODS-96-P,0.242612697,0.477462546,0.214050202,0.23918732,0.561886812,0.063546043,0.130697801,0.661083367,0.063533333,0.152795742,0.374557334,0.563225133,0.591473776,0.082381705,0.063533333,0.058655185,0.638682982,0.26142358,0.194299815,0.258101876,0.229646461,0.090143037,0.357517761,0.103683953,0.172033291,0.142571107,0.156919679,0.543500062
Synthetic/TODS-96-R,0.284566898,0.452075162,0.163576728,0.174612307,0.638996507,1,0.267512685,0.334571705,1,0.37559978,0.500233436,0.606870916,0.567767763,0.541417103,1,0.320542479,0.612326746,0.904841564,0.686661403,0.907236042,0.79366362,0.539569271,0.356669418,0.321206427,0.422097418,0.504757761,0.402177967,0.594496809
Synthetic/TODS-96-R-A-P,0.113852198,0.511975663,0.339904018,0.135885158,0.414690928,0.380311774,0.17029342,0.494608134,0.489828129,0.22448168,0.151563019,0.565356217,0.618845416,0.110674638,0.208990448,0.124979991,0.596402239,0.529101815,0.276710039,0.528600918,0.470390881,0.125150839,0.290079093,0.133317257,0.213787079,0.218049967,0.218727604,0.513981603
Synthetic/TODS-96-R-A-R,0.484740422,0.751588565,0.65768284,0.511464875,0.776339528,0.72165753,0.602164358,0.848569298,0.752826682,0.670018586,0.636390647,0.885474579,0.905893687,0.521637988,0.551139206,0.503357933,0.899752361,0.751207874,0.690505452,0.753169125,0.669194574,0.523132002,0.719212179,0.563812636,0.604151398,0.669489252,0.668561395,0.845165182
Synthetic/TODS-96-R-F1,0.142826392,0.410655441,0.161793925,0.158217547,0.471047301,0.002868377,0.136458074,0.458586169,0.002867805,0.194989072,0.341716715,0.504783031,0.532429806,0.127161896,0.002867805,0.104257449,0.570443582,0.249770709,0.221409595,0.248186693,0.227752721,0.104169823,0.321321877,0.137932556,0.246484113,0.24999111,0.253709523,0.517504156
Synthetic/TODS-96-R-P,0.242649961,0.477462546,0.214050202,0.236436005,0.53290344,0.001436998,0.125221326,0.661083367,0.001436711,0.129903479,0.345815633,0.52137918,0.625536571,0.087589126,0.001436711,0.071532135,0.622852331,0.167524422,0.156205352,0.165610522,0.157164069,0.065124925,0.304675384,0.089623899,0.202598213,0.181680745,0.18470582,0.568965584
Synthetic/TODS-96-R-R,0.322627506,0.429129419,0.182990483,0.216017647,0.624387657,1,0.296242006,0.368486546,1,0.418544057,0.505874326,0.586232949,0.568840931,0.559225482,1,0.340662397,0.599748174,0.839372559,0.639692378,0.839450721,0.748227064,0.561404145,0.396216002,0.336535337,0.452931534,0.531090486,0.430870126,0.594343311
Synthetic/TODS-96-V-PR,0.118565947,0.505185525,0.339330946,0.136097211,0.411012884,0.372288922,0.171625667,0.491368565,0.481722837,0.223640889,0.154051947,0.554817964,0.608211277,0.113456667,0.207635952,0.127469395,0.586181349,0.521411769,0.280381047,0.520905151,0.463931015,0.130259985,0.285576529,0.136325369,0.21107521,0.215429927,0.214657849,0.507054524
Synthetic/TODS-96-V-ROC,0.495268318,0.744423207,0.658342671,0.512117043,0.773631199,0.718594383,0.608692573,0.847992506,0.746622405,0.667574654,0.639630786,0.880001773,0.900133146,0.517051991,0.55032477,0.505832841,0.894221058,0.744026125,0.690916752,0.745812175,0.666898943,0.521676904,0.716755269,0.567331167,0.60019685,0.66206146,0.659787431,0.842033407
Transport/NYC-96-A-P,0.084276111,0.025020751,0.029400491,0.034053028,0.045934542,0.023173018,0.040467217,0.022138078,0.032895987,0.044636161,0.061781992,0.046244728,0.060016762,0.044412689,0.044278049,0.019027809,0.033058724,0.019889477,0.01461482,0.020470007,0.020185572,0.046429215,0.032673636,0.037362892,0.034286701,0.020746892,0.018465132,0.022104543
Transport/NYC-96-A-R,0.866581029,0.503728506,0.572626894,0.548767733,0.768081557,0.475812094,0.633289111,0.487127471,0.581431643,0.695519008,0.670943861,0.70873666,0.790857381,0.653472412,0.660543353,0.445500874,0.640128409,0.465865512,0.264874831,0.464617217,0.456295641,0.666151906,0.56481189,0.648568146,0.661460563,0.460891051,0.434706107,0.510448474
Transport/NYC-96-Acc,0.977355072,0.974184783,0.966485507,0.977807971,0.976449275,0.957880435,0.975996377,0.973958333,0.971240942,0.97192029,0.976902174,0.975996377,0.976902174,0.976449275,0.974637681,0.894701087,0.797101449,0.899682971,0.913496377,0.892210145,0.029438406,0.903532609,0.894701087,0.969655797,0.960144928,0.940217391,0.973958333,0.815443841
Transport/NYC-96-Aff-F1,0.912555925,0.689023693,0.694002538,0.989772575,0.82839473,0.669271325,0.70783129,0.647589175,0.691931012,0.76903221,0.818946901,0.775921206,0.793647478,0.845013542,0.766552339,0.675360484,0.68431816,0.64412683,0.702182344,0.652408941,0.666835837,0.680392515,0.694342904,0.731074072,0.72766757,0.700479276,0.809367018,0.682795985
Transport/NYC-96-Aff-P,0.847826087,0.528772379,0.54305078,1,0.814221014,0.504271431,0.551378824,0.48144374,0.532240716,0.639067029,0.816576087,0.719008799,0.749698068,0.737707039,0.625588768,0.524978716,0.520452607,0.475917892,0.550958689,0.48469983,0.500190913,0.516488681,0.53332625,0.579373233,0.581120306,0.542291038,0.692821558,0.518891038
Transport/NYC-96-Aff-R,0.987986752,0.988645513,0.961182248,0.979752232,0.843070652,0.994761931,0.988242937,0.988834221,0.988520852,0.965353261,0.821331522,0.842617754,0.843070652,0.988851376,0.989520431,0.946483632,0.998788839,0.996238426,0.96782476,0.997576535,0.999997713,0.996682175,0.994632695,0.990395348,0.973052536,0.988963457,0.973052536,0.998058026
Transport/NYC-96-F1,0.019607843,0.017241379,,0.02,,0.021052632,0.018518519,0.017094017,0.030534351,,,,,0.018867925,0.01754386,,0.060796646,0.017738359,,0.024590164,0.043303571,0.093617021,0.079207921,0.042857143,0,0.029411765,0,0.049008168
Transport/NYC-96-P,0.333333333,0.058823529,,1,,0.021978022,0.111111111,0.055555556,0.0625,,,,,0.142857143,0.066666667,,0.033918129,0.011363636,,0.015424165,0.022141064,0.059299191,0.049261084,0.073170732,0,0.023121387,0,0.027704485
Transport/NYC-96-R,0.01010101,0.01010101,,0.01010101,,0.02020202,0.01010101,0.01010101,0.02020202,,,,,0.01010101,0.01010101,,0.292929293,0.04040404,,0.060606061,0.97979798,0.222222222,0.202020202,0.03030303,0,0.04040404,0,0.212121212
Transport/NYC-96-R-A-P,0.092171053,0.046474119,0.05185811,0.045175018,0.061452924,0.045113737,0.065042864,0.047644778,0.054477383,0.061335533,0.065636509,0.059273876,0.068955687,0.055870323,0.081458893,0.031404598,0.051475002,0.05531313,0.02923958,0.0532095,0.33294371,0.076165654,0.055689473,0.059589805,0.056506076,0.03736864,0.04305665,0.04587125
Transport/NYC-96-R-A-R,0.769049348,0.635907954,0.679654361,0.523593914,0.761705768,0.618430988,0.753557384,0.647722213,0.675361253,0.723265949,0.706435283,0.721776509,0.764821697,0.703527649,0.740531755,0.545489491,0.696547702,0.642864657,0.507404754,0.603523227,0.611690092,0.743790405,0.677297311,0.723465524,0.719516418,0.593125762,0.584138438,0.648082391
Transport/NYC-96-R-F1,0.256218905,0.091718611,,0.344481605,,0.039756827,0.169407895,0.087696892,0.096126925,,,,,0.203960396,0.100980392,,0.042215835,0.034900466,,0.033350683,0.074166415,0.089041096,0.034029622,0.108269096,0,0.045142296,0,0.04212778
Transport/NYC-96-R-P,0.333333333,0.058823529,,1,,0.021978022,0.142857143,0.055555556,0.0625,,,,,0.2,0.066666667,,0.023310023,0.019047619,,0.018115942,0.040325019,0.052631579,0.018237082,0.073170732,0,0.025,0,0.023148148
Transport/NYC-96-R-R,0.208080808,0.208080808,,0.208080808,,0.208080808,0.208080808,0.208080808,0.208080808,,,,,0.208080808,0.208080808,,0.223434343,0.208080808,,0.20969697,0.461279461,0.288888889,0.253872054,0.208080808,0,0.232323232,0,0.233939394
Transport/NYC-96-V-PR,0.091473782,0.045301668,0.052067635,0.046616848,0.061036431,0.04382727,0.063302692,0.046327799,0.053574338,0.059826874,0.065064969,0.058899619,0.069745211,0.054278104,0.076676651,0.031570819,0.051120427,0.051023659,0.034304788,0.048844509,0.318232202,0.071694111,0.05519204,0.057653439,0.054282404,0.036704838,0.0419063,0.045439597
Transport/NYC-96-V-ROC,0.770414279,0.619316955,0.674756528,0.529644651,0.760481318,0.601426383,0.737369307,0.625145021,0.660765424,0.715946263,0.700786768,0.718659625,0.770699194,0.691082765,0.724424654,0.53577687,0.689004975,0.608419393,0.493902945,0.580985923,0.589169383,0.73044419,0.666857269,0.711413238,0.703726018,0.571230675,0.567326281,0.627922543
Visitor Flowrate/CalIt2-96-A-P,0.044590102,0.084040452,0.080119,0.034544584,0.097480509,0.082409715,0.056832577,0.080414052,0.079242506,0.063168847,0.053865695,0.11626941,0.07837754,0.053377077,0.076362138,0.080236891,0.105690434,0.036610535,0.081128429,0.035016139,0.095150947,0.072647411,0.07825517,0.071809854,0.07948081,0.07258197,0.080155359,0.077977965
Visitor Flowrate/CalIt2-96-A-R,0.532571103,0.76683112,0.775156903,0.526949681,0.75222647,0.767170891,0.573644781,0.774980111,0.721216106,0.690592473,0.695117235,0.808065015,0.770966387,0.500883958,0.706409803,0.797902256,0.791070916,0.538722901,0.796117765,0.508673841,0.803543016,0.789965968,0.72251442,0.722591766,0.738773729,0.7298347,0.776104395,0.743187996
Visitor Flowrate/CalIt2-96-Acc,0.943650794,0.96031746,0.031349206,0.840873016,0.886904762,0.126587302,0.909920635,0.968253968,0.960714286,0.888888889,0.844444444,0.888888889,0.946428571,0.884126984,0.961111111,0.885714286,0.929761905,0.944047619,0.892063492,0.89047619,0.867460317,0.884126984,0.88531746,0.891666667,0.855555556,0.888888889,0.926190476,0.932936508
